"","X__1","A","B","C","D","X"
"599","DB01427",0,0,1,0,0
"600","DB01452",0,1,0,0,0
"601","DB01576",0,0,1,0,0
"602","DB01580",0,0,1,0,0
"603","DB01586",0,1,0,0,0
"604","DB01589",0,0,0,0,1
"605","DB01602",0,1,0,0,0
"606","DB01620",0,0,1,0,0
"607","DB01624",0,0,1,0,0
"608","DB01627",0,0,1,0,0
"609","DB02300",0,0,1,0,0
"610","DB02701",1,0,0,0,0
"611","DB04896",0,0,1,0,0
