"","MW","H.Bond.Donors","H.Bond.Acceptors","logP","AM1_HOMO","AM1_LUMO","mutagenic","most_basic_pKa"
"353",1,1,1,1,"0","0","0","0"
"354",1,1,1,1,"1","0","0","1"
"356",1,1,1,1,"1","1","1","1"
"357",1,1,1,1,"1","1","0","1"
"358",1,1,1,1,"0","1","0","0"
"365",1,1,1,1,"1","1","0","0"
"368",1,1,1,1,"0","1","0","0"
"370",1,1,1,1,"0","1","0","0"
"371",1,1,1,1,"0","0","0","0"
"372",1,1,1,1,"1","0","0","1"
"374",1,1,1,1,"0","0","0","0"
"377",0,0,0,1,"0","1","0","0"
"380",1,1,1,1,"1","1","0","0"
"384",1,1,1,1,"1","0","0","0"
"386",1,1,1,1,"1","1","0","1"
"388",1,1,1,1,"1","0","0","0"
"393",1,1,1,1,"0","1","0","0"
"395",1,1,1,1,"0","0","0","1"
"397",1,1,1,1,"0","1","0","0"
"399",1,1,1,1,"0","0","0","0"
"400",1,1,1,1,"1","0","0","1"
"402",1,1,1,0,"0","0","0","0"
"405",1,1,1,1,"1","0","0","1"
"407",1,1,1,1,"1","0","1","1"
"408",1,0,1,1,"1","1","1","1"
"409",1,1,1,1,"1","1","0","1"
"412",1,1,1,1,"0","0","0","1"
"413",1,1,1,1,"1","0","0","1"
"415",1,1,1,1,"1","1","1","0"
"416",1,1,1,1,"1","1","0","0"
"423",1,1,1,1,"1","1","0","1"
"427",1,0,1,1,"0","1","0","0"
"430",1,1,1,1,"0","0","0","1"
"432",1,1,1,1,"1","1","0","0"
"433",1,1,1,1,"1","1","0","0"
"435",1,1,1,1,"1","1","0","1"
"439",1,1,1,1,"0","0","0","1"
"444",1,1,1,1,"1","1","1","1"
"448",1,1,1,1,"1","1","1","1"
"449",0,1,1,1,"0","0","0","1"
"451",1,1,1,1,"1","1","0","1"
"452",1,1,1,1,"0","1","0","0"
"454",1,1,1,1,"0","0","0","1"
"456",1,1,1,1,"1","0","0","0"
"457",1,1,1,1,"1","0","0","1"
"458",1,1,1,1,"0","1","0","0"
"461",1,1,1,1,"0","0","0","1"
"463",1,1,1,1,"1","1","0","1"
"471",1,1,1,1,"1","1","0","1"
"472",1,1,1,0,"1","0","0","1"
"473",1,1,1,1,"0","0","0","0"
"474",1,1,1,1,"1","0","0","0"
"476",1,1,1,1,"0","0","0","1"
"477",1,1,1,1,"0","0","0","1"
"478",1,1,1,1,"1","1","0","1"
"479",1,1,1,1,"0","1","0","0"
"481",1,1,1,1,"1","1","0","0"
"484",1,1,1,1,"1","0","1","1"
"488",1,1,1,1,"0","0","0","0"
"489",1,1,1,1,"1","1","0","0"
"490",1,0,0,1,"1","0","0","0"
"495",1,0,1,1,"0","0","1","1"
"496",1,1,1,1,"1","0","0","1"
"498",1,1,1,1,"0","1","1","1"
"499",1,1,1,1,"0","1","0","0"
"502",1,1,1,1,"0","0","1","0"
"505",1,1,1,1,"1","1","0","1"
"508",1,1,1,0,"0","0","0","1"
"509",1,1,1,1,"0","0","0","0"
"510",1,1,1,1,"0","0","0","1"
"511",1,1,1,1,"1","1","0","1"
"512",1,1,1,1,"0","1","0","1"
"513",1,1,1,1,"1","0","1","1"
"515",1,1,1,1,"1","0","0","0"
"517",1,1,1,1,"0","1","0","0"
"518",1,1,1,1,"0","0","0","1"
"519",1,1,1,1,"0","1","0","0"
"520",1,1,1,1,"1","0","1","0"
"522",0,1,1,1,"1","0","0","0"
"525",1,1,1,1,"1","0","0","1"
"527",1,1,1,1,"1","1","0","0"
"529",1,1,1,1,"1","0","0","0"
"531",1,1,1,1,"1","0","0","1"
"532",1,1,1,1,"1","1","0","0"
"534",1,1,1,1,"0","0","0","0"
"535",1,1,1,1,"0","0","0","1"
"538",1,1,1,1,"0","1","0","1"
"539",1,1,1,1,"1","1","0","1"
"542",1,1,1,1,"1","0","0","1"
"544",1,1,1,1,"0","1","0","0"
"546",1,1,1,1,"1","0","0","1"
"549",1,1,1,1,"1","0","1","1"
"550",1,1,1,1,"1","1","1","0"
"552",1,0,1,1,"1","1","0","0"
"553",1,1,1,1,"1","1","0","1"
"554",1,1,1,1,"0","1","0","0"
"555",1,0,1,1,"1","1","0","0"
"557",1,1,1,1,"1","1","0","1"
"559",1,1,1,1,"1","1","0","0"
"560",1,1,1,1,"0","0","0","0"
"565",1,1,1,1,"0","0","0","1"
"566",1,1,1,1,"0","1","0","0"
"567",1,1,1,1,"1","1","0","0"
"568",1,1,1,1,"1","1","1","1"
"569",1,1,1,1,"0","1","1","0"
"570",1,1,1,1,"1","1","0","0"
"574",1,0,1,1,"1","0","0","0"
"575",0,1,1,1,"1","1","0","0"
"578",1,1,1,1,"1","1","1","1"
"586",1,0,1,1,"1","1","1","1"
"587",0,0,1,1,"0","0","0","1"
"589",1,1,1,1,"1","1","0","1"
"590",1,1,1,1,"0","0","0","0"
"591",1,0,1,1,"1","1","0","0"
"593",1,0,1,1,"0","0","0","0"
"594",1,1,1,1,"1","1","0","0"
"595",1,1,1,0,"0","0","0","1"
"596",1,1,1,1,"0","0","0","1"
"598",1,1,1,1,"0","1","0","0"
"600",1,1,1,1,"0","0","0","1"
"602",1,1,0,1,"0","0","0","1"
"603",1,1,1,0,"0","1","0","0"
"605",1,1,1,1,"1","0","0","1"
"606",1,1,1,1,"1","1","0","1"
"608",1,1,1,1,"1","1","0","0"
